#type;first;second;
MNNA;USA;JAP;
MNNA;USA;AST;
MNNA;USA;EGY;
MNNA;USA;ISR;
MNNA;USA;SKO;
MNNA;USA;MOR;
MNWA;RUS;SYR;
NATO;ENG;CAN;
NATO;USA;CAN;
NATO;USA;BEL;
NATO;USA;DEN;
NATO;USA;ICL;
NATO;USA;ITA;
NATO;USA;LUX;
NATO;USA;NET;
NATO;USA;NOR;
NATO;USA;POR;
NATO;USA;GRE;
NATO;USA;TUR;
NATO;USA;SPA;
Other;CRO;HZB;
Other;SER;RSR;
Other;SER;SRK;
Other;WSA;ALG;
puppet;TUR;NCY;
puppet;DEN;FAR;
puppet;DEN;GRN;
puppet;NET;ARU;
puppet;NZL;TOK;
puppet;NZL;NIU;
puppet;NZL;COI;
puppet;SAF;TRK;
puppet;SAF;BOP;
puppet;SAF;CIS;
puppet;SAF;GZA;
puppet;SAF;VED;
puppet;SAF;LBW;
puppet;SAF;NGW;
puppet;SAF;NDB;
puppet;SAF;QWA;
puppet;SAF;ZUL;
puppet;USA;PUR;
puppet;USA;NMI;
puppet;HND;BHU;
puppet;CHI;NKO;
puppet;ENG;BEU;
puppet;ENG;CYI;
puppet;ENG;TCI;
WEU;FRA;GER;
WEU;FRA;ITA;
relation;CAN;Iceland;4
relation;ENG;BEU;5
relation;ENG;CYI;5
relation;ENG;TCI;5
relation;ENG;Brunei;4
relation;ENG;St Kits And Nevis;5
relation;ENG;Maldives;4
relation;ENG;Antigua And Barbuda;5
relation;ENG;Belize;4
relation;ENG;Vanuatu;4
relation;ENG;St Vincent And Grenadines;4
relation;ENG;Kiribati;4
relation;ENG;St Lucia;4
relation;ENG;Dominica;4
relation;ENG;Tuvalu;4
relation;ENG;Solomon Islands;4
relation;ENG;Seychelles;4
relation;ENG;Papua New Guinea;4
relation;ENG;Grenada;4
relation;ENG;Bahamas;4
relation;ENG;Cyprus;5
relation;ENG;Bangladesh;3
relation;ENG;Fiji;4
relation;ENG;Samoa;4
relation;ENG;Tonga;4
relation;ENG;Nauru;4
relation;ENG;Swaziland;4
relation;ENG;Mauritius;4
relation;ENG;Barbados;4
relation;ENG;Lesotho;4
relation;ENG;Botswana;4
relation;ENG;Guyana;4
relation;ENG;Singapore;4
relation;ENG;Zambia;4
relation;ENG;Malta;4
relation;ENG;Malawa;5
relation;ENG;Kenya;4
relation;ENG;Uganda;4
relation;ENG;Trinidad and Tobago;4
relation;ENG;Jamaica;4
relation;ENG;Tanzania;4
relation;ENG;Sierra Leone;4
relation;ENG;Nigeria;4
relation;ENG;Malaysia;4
relation;ENG;Ghana;4
relation;ENG;Sri Lanka;4
relation;ENG;India;4
relation;ENG;Pakistan;4
relation;ENG;Australia;5
relation;ENG;New Zealand;5
relation;ENG;South Africa;5
relation;ITA;Malta;5
relation;ITA;Switzerland;4
relation;ITA;Serbia;4
relation;ITA;Albania;5
relation;ITA;Croatia;4
relation;ITA;Slovenia;4
relation;ITA;Tripoli;4
relation;ITA;Somalia;4
relation;FRA;Egypt;4
relation;FRA;Rep Of The Congo;4
relation;FRA;Guinea;4
relation;FRA;Morocco;4
relation;FRA;St Lucia;5
relation;FRA;Mauritania;4
relation;FRA;Dominica;5
relation;FRA;Guinea Bissau;4
relation;FRA;Vanuatu;5
relation;FRA;Comoros;4
relation;FRA;Congo Free State;4
relation;FRA;Djibouti;5
relation;FRA;Seychelles;4
relation;FRA;Central African Republic;5
relation;FRA;Lebanon;4
relation;FRA;Belgium;4
relation;FRA;Benin;4
relation;FRA;Burkina Faso;4
relation;FRA;Burundi;4
relation;FRA;Chad;5
relation;FRA;Ivory Coast;4
relation;FRA;Gabon;4
relation;FRA;Haiti;5
relation;FRA;Luxemburg;5
relation;FRA;Madagascar;4
relation;FRA;Mali;5
relation;FRA;Mauritius;4
relation;FRA;Niger;5
relation;FRA;Rwanda;4
relation;FRA;Senegalia;4
relation;FRA;Togo;4
relation;FRA;Tunis;5
relation;FRA;Dai Viet;3
relation;FRA;Luang Prabang;3
relation;FRA;Cameroon;4
relation;GER;Austria;5
relation;GER;Switzerland;5
relation;GER;Luxemburg;4
relation;GER;Bosnia;5
relation;GER;Netherlands;5
relation;GER;Denmark;4
relation;GER;Slovenia;4
relation;GER;Finland;4
relation;GER;Ottoman Empire;3
relation;GER;Croatia;5
relation;GER;Sweden;3
relation;GER;Czechoslovakia;4
relation;GER;Hungary;5
relation;GER;Romania;4
relation;GER;Bulgaria;4
relation;GER;Poland;4
relation;JAP;North Korea;1
relation;JAP;South Korea;2
relation;JAP;Republic of China;2
relation;JAP;Brunei;5
relation;JAP;Cambodia;4
relation;JAP;Indonesia;4
relation;JAP;Malaysia;4
relation;JAP;Philippines;3
relation;JAP;Thailand;4
relation;JAP;Dai Viet;4
relation;JAP;India;4
relation;JAP;China;2
relation;SPA;Catalonia;5
relation;SPA;Basque Country;5
relation;USA;Republic of China;5
relation;USA;Portugal;5
relation;USA;South Korea;5
relation;USA;Philippines;5
relation;USA;Thailand;4
relation;USA;Pakistan;4
relation;USA;Saudi Arabia;5
relation;USA;Bahrain;5
relation;USA;Qatar;5
relation;USA;Kuwait;4
relation;USA;Oman;4
relation;USA;United Arab Emirates;5
relation;USA;Israel;5
relation;USA;Congo Free State;4
relation;USA;Liberia;4
relation;USA;Antigua And Barbuda;4
relation;USA;Bahamas;4
relation;USA;Barbados;4
relation;USA;Belize;3
relation;USA;Costa Rica;5
relation;USA;Cuba;1
relation;USA;Dominica;5
relation;USA;Dominican Republic;5
relation;USA;El Salvador;5
relation;USA;Greenland;4
relation;USA;Grenada;5
relation;USA;Guatemala;5
relation;USA;Haiti;5
relation;USA;Honduras;5
relation;USA;Jamaica;5
relation;USA;Mexico;5
relation;USA;Nicaragua;1
relation;USA;Panama;5
relation;USA;St Kits And Nevis;5
relation;USA;St Lucia;5
relation;USA;St Vincent And Grenadines;5
relation;USA;Trinidad and Tobago;5
relation;USA;Argentina;4
relation;USA;Bolivia;5
relation;USA;Brazil;4
relation;USA;Chile;5
relation;USA;Colombia;5
relation;USA;Ecuador;5
relation;USA;Guyana;5
relation;USA;Paraguay;5
relation;USA;Peru;5
relation;USA;Suriname;5
relation;USA;Uruguay;5
relation;USA;Venezuela;5
relation;USA;Australia;4
relation;USA;Singapore;5
relation;USA;Fiji;5
relation;USA;Kiribati;5
relation;USA;Marshall Islands;5
relation;USA;Micronesia;5
relation;USA;Nauru;5
relation;USA;New Zealand;4
relation;USA;Palau;4
relation;USA;Papua New Guinea;4
relation;USA;Samoa;4
relation;USA;Solomon Islands;4
relation;USA;Tonga;4
relation;USA;Tuvalu;4
relation;USA;Vanuatu;4
relation;USA;Northen Marinas Islands;5
relation;RUS;Serbia;4
relation;RUS;Dai Viet;4
relation;RUS;Belarus;5
relation;RUS;Ukraine;5
relation;RUS;Czechoslovakia;1
relation;RUS;Hungary;1
relation;RUS;Romania;1
relation;RUS;Bulgaria;3
relation;RUS;Poland;1
relation;RUS;Azerbaijan;3
relation;RUS;Armenia;5
relation;RUS;Kazakhstan;5
relation;RUS;Turkestan;4
relation;RUS;Uzbekistan;5
relation;RUS;Mongolia;5
relation;RUS;Transnistria;5
relation;RUS;South Ossetia;5
relation;RUS;Abkhazia;5
